,Song,Artist,Genre,Lyrics
268,whenever,cherish,Hip-Hop,we were sittin' at the table. we were talkin' bout some thangs. conversatin' on what's been goin' on lately. he moved in a little further. said baby come a little closer. there is something that i want you to know. and then he said. [chorus] whenever you wanna get down. i'll be around. 'cause i'm in no hurry. again he said. whenever you fellin' the mood to let me love you. i'll be here for you huhn huhn uhn huhn. huhn huhn uhn huhn. huhn huhn uhn huhn. huhn huhn uhn huhn. huhn uhn huhn un huhn uhn. i put my hair behind my ear. thinking if what i heard was clear. turned my head thinking 'bout what i should say. then he said before you speak. you're the only one for me. baby i'm here for you whenever your ready. all while he speaks. thoughts start to creep. i start to think. about the things. in time we could do. and then he said. [chorus] huhn huhn uhn huhn. huhn huhn uhn huhn. huhn huhn uhn huhn. huhn huhn uhn huhn. huhn uhn huhn un huhn uhn. whenever the time whenever the place. baby just call or hit me on my two way. baby i'm down for whatever you say. it's all for you. and then he said. [chorus: x2]
269,that-s-all-mine,asher-roth,Hip-Hop,"[jesse boykins iii]
can take it all from me
so i know you want to see
can take it all from me
so i know you want to see
can take it all from me
so i know you want to see
can take it all from me
so i know you want to see
[jesse boykins iii]
those my shoes, that's my shirt
that's my house, that's my bitch
that's my food, those my clothes
that's my house, that's my whip
[asher roth]
yo, we on one, feeling like we way above the law, son
nicklebacks and headies got me feeling kind of awesome
star sons, zodiac debilitated mars but
got the bars to bag it up that asher roth's a raw one
on the road to riches, i ain't make it very far cause
seems that i desire more than calabasas cars
caviar always tasting kind of blah to me (honestly)
keeping a facade kind of hard to me (hard to be)
anything you isn't actually that's kinda awkward
student with a lisp and stutters spelling out a long word
law firm, strong earn, got two degrees
but don't mean he got the means to kick rhythm on the beat
eating breakfast on the beach with my tutti fruiti honey pie
she can be wherever, she ain't comfortable with other guys
the way i rub her feet underneath vanilla skies
chocolate covered compliments can't help if she got better style
let it slide, leather sandals on, stellar vibe
i can probably stunt it if i want it but i never try
that's just me, og, old soul
king cole since a year old i swear i been here before
those past life's get bright late at night
wouldn't trade a day of this life's fight to get right
carlton on fresh prince once quipped he'd flip script
and for once chicks would dig him and then think he was legit
all you need is confidence, a little common sense
but sometimes to be the opposite, that's just how it is
all you need is confidence, a little common sense
but sometimes to be the opposite, that's just how it is"
270,half crazy,freestyle,Hip-Hop,"no, i havent slept a week at all since you've been gone and my eyes are kinda tired from crying all night long know i've never been too good at cooking just for one it's so lonely here without you baby come back home 'coz i'm half crazy feelin' sorry for myself half crazy worried you'd find someone else to love no, life hasn't been much fun at all since you've been gone and my eyes begin to fill each time i hear our song i spent every minute asking myself what went wrong can't we try to talk it over baby come back home 'coz i'm half crazy feelin' sorry for myself half crazy worried you'd find someone else but baby there is no one else half crazy for everything you say and do half crazy no one else could love you like i do (break) 'coz i'm half crazy feelin' sorry for myself half crazy worried you'd find someone else but baby there is no one else half crazy for everything you say and do half crazy no one else could ever love you no one else could ever be half crazy feeling sorry for myself and i'm worried you'll find someone else feeling sorry for myself worried you'd find someone else to love half crazy (fade)"
271,turn-down-for-what,dj-snake,Hip-Hop,"fire up that loud
another round of shots
turn down for what?
turn down for what?
turn down for what?
turn down for what?
turn down for what?
fire up that loud
another round of shots
turn down for what?
turn down for what?
turn down for what?
turn down for what?
turn down for what?
fire up that loud
another round of shots
fire up that loud
another round of shots
fire up that loud
another round of shots
fire up that loud
another round of shots
turn down for what?
turn down for what?
turn down for what?
turn down for what?
turn down for what?"
272,mo brooklyn mo harlem mo southside,fabolous,Hip-Hop,"[fabolous] check my resume, look back at my past to this present day always been a pirate who been tryna find what treasure lay castle on the hill, far from where the peasants stay steel in sock drawer, my dresser is where the desert lay put the audemar away, today feel like a present day raindows in my diamonds, you would think my bezels gay passion, pain, pleasure, trey knocking in the escalade ii be in the drivers seat, my passenger name is desirae 36 24 40 what her measure say here today, gone tomorrow and i just met her yesterday we already eating yall tryna make reservae we making movies while yall sit on couches pressing play mmoney aint on your mind, what you thinking doesn't count ii did sneaker boxes , now i does accounts sstill keep it hood aint no half way shit can do a suit with a fitted on some draft day shit aand maybe i'm too busy to hear what the talent blind say in the club buying roses like its valentines day bitch they find them niggas in a meat locker soon have their mommas crying like they in the heats locker room wassup ! [chorus] mo brooklyn, mo harlem, mo southside yyou catch that body nigga better have that alibi you never know it might just be your time to that ride tto them pearly white gates watch that suicide [vado] who am i? nudy fly with a cutie pie burning pot, turtle top watching cooley high shoot high, one in your calf like the boobie got suit and tie then comit suicide like he knew to die haaa, bright lights i vision house full of birds i'm like mike tys' with pigeons wwhite mics religion if not ice and linen you gave me your word then that right price was giving trend setters, hamptons live better in the mansions lamping, plaid pants a thin sweater top floor gusevoir see me with bench pressers slimes that push weight but aint hit the gym never like quarters got red orders bags over bags stash house look like horters avon home tell marlo these my corners matress tight walls we snatching wife daughters only dimes keep on my time sheet catch a jukes hit with the biscuit for that 9 piece already marketing plan it never my minds sleeps lime green headphones, jimmy i need some slime beats [chorus] [lloyd banks] moneys the focus, ashtray's to the top a hundred roaches pretty head on hotel sofas in this town of dreams and hopers dont approach us, watch the common stretchers lead to comas sold out shows and louie shoulders, way i rap i need a bonus who can hold us? the og rollers new york city's coldest sour diesel, weed aromas, numb of casualties of soldiers my position, remains the same while niggas change and switching politics from famous living, heavy chains and brainless women place to swim in, 22 spinning leather grace the linen if you find a space forgive em, gangstas cant erase the sinning ducking po po, the 2k winners banks, vado, and loso brooklyn, queens, to harlem 44 slip around here you'll be promo i'm fresh, designer down to sweats prolly grip the thousand x my style whats next, booshe hound next to the housing jets life reflects from big diamonds domino with calmer flow feel like i'm popping shit, rounding homicide everytime i go thousand dollar tipping, impala whipping recline and go pounding out ya sister then give her pound, time to roll [chorus]"
273,voices in the head,bizzy bone,Hip-Hop,"we's gon' be free one day whoo! aaron, don't let these voices take me away (help!) we's gon' be free one day shut up! shut up! we gon' be free one day (quit talking to me!) we's gon' be free one day shut up! man i can end it with one blast to the brain what am i thinking? suicide could be better for me! damn, what am i drinking? my nigga, that's hennessey! factions of my body leak into a piece turning demons to giggling get him some remy now i'm tweaking, ecstacy'd out every weekend well why don't you try some pcp? but the weed was still decent aww, shit he's just about seasoned my liver won't give it up your blood stream is immune ate up an ounce of toxic mushrooms here you need some orange juice oj! i hate him (you what?) but fuck that and pop you one of these valiums i could he's satan disciple, he's coming to get you very soon satan disciples, he's coming to get you very soon he can come in the form of drugs he can come in the form of blood who me? i'm the voice in your head you're dead as a doorknob, doorknob, doorknob who me? i'm the voice in your head you're dead as a doorknob, doorknob, doorknob who me? i'm the voice in your head you're dead as a doorknob, doorknob, doorknob who me? i'm the voice in your head you're dead as a doorknob, doorknob, doorknob hey rejoice! i know where we can get some napalm my sister's baby's daddy's getting the bomb first did you hit up my babies' moms? now roll up another l! i love it when niggas go out with a bang throw my thangs! naw baby, blow out his fucking brains! i lit up a cigarette, look innocent 'cuz we're passing 4th district double glock, stick it out that window ready to start some shit! hit that, trippin' out flippin' out, getting off, getting out fuck em! baby calm down, the law's right behind you i'm a buck em, stop the car! turn around and bust em, it didn't even stop 'em gives a fuck about they backup, pop my trunk! that's when they shot him shot him, shot him, shot him, shot him shot him, shot him, shot him, shot him when they shot him shot him, shot him, shot him, shot him shot him, shot him, shot him, shot him when they shot him who me? i'm the voice in your head"
274,rumble,afu-ra,Hip-Hop,"i'm a problem child, i'm my own worst enemy
no matter what happens in life, precise and nothing scares me
even the bombs is exploding all around me
i be the type of man, who stand his ground, firmly
i'm compulsive, psychotic in the mental
a walking fear factor, seven thirty, it's that simple
i've been exposed to a universe of negative fallout
the fact that i move on nothing, it makes me wanna ball out
instead, i put vocals to the beats and get it popping
the harm glare right through the track, i feel like rocking
but back to the program, damn
my evil and is taking over like i'm sinking in some quicksand
really i feel like going up in a blaze, hot damn
i'm a cross of jack the ripper and the son of sam
it's like i'm living five lives and of five guys
with five million ways to bust heads, so forgive my slide
i said yo, yo, do you wanna rumble?
come and rumble with me
i've been working out these problems in my mind
imagine yourself free falling, falling and falling
a thousand story's, after diggin' some stars in scrolls
that's how i feel, 24 hours a day
from sunday, monday, tuesday, wednesday, thursday
friday and even on saturday, it's like i'm trapped in a box
uh-huh, going to war with myself
so i can't stop thinking about killing myself
so i do what i do, to do what i do, to break the rules
only form of therapy is to spit it for you
charismatically drastic with this rap shit
thoughts are falling off but send them back like elastic
get the politic sorrows in the music game
i'm trynna make sense of corruption in my brain
i hope this part of my life, don't want war with my seeds
masturbation of pornos, wrapped in best flame
the little things, that's gon' drive me insane
i said yo, yo, do you wanna rumble?
come and rumble with me
i've been working out these problems in my mind
yo, do you wanna rumble?
come and rumble with me
i've been working out these problems in my mind
i'm in hell, raised in lyrically blazing
to make a long story short, i'm half man, half amazing
sometimes i don't know whether i'm coming or going
so i dive head first into the track and keep flowing and flowing
my hearts on my sleeve, my loves growing and growing
that's how i like, from the music i make rumble
from the forty come licks, that's right i watch 'em crumble
survival of the fittest, this business means business
gotta say what i mean, gotta handle to my business
i'm one soldier fighting against a whole army
i'm little with bullets, yeah and none of them harming
my third eye, six stones, the eyes on the prize
going from knowledge, build the wise
and if i ain't successful
in the back of my mind, i gotta wonder why
i keep my nose, yeah, fit to the grindstone
going and showing and growing top of these fucking poems
i said yo, yo, do you wanna rumble?
come and rumble with me
i've been working out these problems in my mind
yo, yo, do you wanna rumble?
come and rumble with me
i've been working out these problems in my mind
yo, yo, do you wanna rumble?
come and rumble with me
i've been working out these problems in my mind
yo, yo, do you wanna rumble?
come and rumble with me
i've been working out these problems in my mind
and do you wanna rumble?
and do you wanna rumble?
and do you wanna rumble?
and do you wanna rumble?"
275,goyard bag,fabolous,Hip-Hop,"[intro] yeah, oh yeah, yeah [hook: lil uzi vert] copped the drop top hummer for the summer yeah goyard bag with a hundred yeah and i know why you mad cause i'm stuntin' yeah say i know i know why you mad cause i'm stuntin' yeah wakin' up on the hills right on runyon yeah smokin' on that gas, smell like funyun yeah like call my private chef hold my stomach in yeah i like 'em fried, she like 'em sunny eggs [verse 1: lil uzi vert] oh, those some runny eggs i might flex around the world and then i start again i might flex around your girl and then i fuck again and the funny thing is you gon' cuff again yeah i advise you stop all the hatin' and you'll make it too like i done had a situation but i made it through i paid 1000 for these shoes, for my yeezy cuffs too [hook: fabolous] got the drop top runnin' for the summer yeah, ay goyard bags full of hundreds yeah and i know why you mad cause i'm stuntin' yeah say i know i know why you mad cause i'm stuntin' yeah wakin' up on the hills right by runyon yeah smokin' on that gas, smell like funyun yeah like i'm a private chef, cook for money yeah hey white and yellow gold just like sunny eggs [verse 2: fabolous] look i just think shorty like my go hard swag turn my brown bags to a goyard bag my son told me keep makin' these old farts mad he said you drive this foreign like a go-kart dad spittin' like they got it, they on that mission lookin' different when you see 'em rappers catfishin' either barney's, neiman marcus, so we saks fifthin' always makin' movies but we never act different, no never changed up i just leveled up and i watch the gold diggers pick they shovels up watchin' thirsty niggas try to pick my beverage up never spoke on 'em, i won't bring the devil up, no sometimes sayin' nothin' sayin' somethin' when your money talks now you're sayin' somethin' ay if you ain't get a message that's a message look y'all know who the freshest of the freshest [hook: fabolous] got the drop top runnin' for the summer yeah goyard bags full of hundreds yeah and i know why you mad cause i'm stuntin' yeah say i know i know why you mad cause i'm stuntin' yeah wakin' up on the hills right by runyon yeah smokin' on that gas, smell like funyun yeah like i'm a private chef, cook for money yeah hey white and yellow gold just like sunny eggs [bridge: lil uzi vert] i've been talkin' to my idol i've been talkin' to my idol nowadays i feel like i'm my own idol scratch her off the list like a vinyl real girl, i don't really like her i just really wanna just spike her yeah, yeah, you know i night ya hope ya wasn't thinkin' i'ma wife ya [verse 3: fabolous + lil uzi vert] got the drop top runnin' and i got guap comin' now we eatin' garlic noodles and they not top ramen i'm not just laid up with a baddie, got some slop top from her studio all winter just to drop hot summers, yeah i be in my bag with no travel let you be the judge, get the gavel i think if i want you i can have you every time i pull up on the avenue [hook: lil uzi vert] copped the drop top hummer for the summer yeah goyard bag with a hundred yeah and i know why you mad cause i'm stuntin' yeah say i know i know why you mad cause i'm stuntin' yeah wakin' up on the hills right on runyon yeah smokin' on that gas, smell like funyun yeah like call my private chef hold my stomach in yeah i like 'em fried, like 'em sunny eggs [outro] fab - so i'm in my bag? i'm back in my bag now or what? girl - nah you in your goyard bag now fab - told ya i was gonna get back to it, know what i'm sayin'? i just wanted to let you know like i appreciate you like havin' faith in me like and giving me that talk cause i was going to do it for a minute and you know i mean i just needed somebody to let me know it's time to level up. like stop playing out here girl - it's all good real ones might fall back but they don't fall off"
276,now-get-busy,beastie-boys,Hip-Hop,"whether in a penthouse or a cave dweller
i can tell you 'bout now i'm not a fortune teller
grab a treat from yosi my muffin seller
got mad technique like rudy van gelder
and yes i got a plan i'm a carry out it
yes i'm pro-choice i'm a scream and shout it
yes i love life and i try not to doubt it
yes i'm gonna party 'cause i'm 'bout it 'bout it
when it rains i don't use an umbrella
when i write rhymes, i use indelible ink
that will make you think
flowing like water that you love to drink
now get busy
sweet like a [incomprehensible] with nutella
creamy like buffalo mozzarella
sneaking around you know i smell ya
well i play ya like a peanut and throw the shell ya
well i could give a fuzz if ya think you're a baller
i gets 'em [incomprehensible] well you fall smaller
middle school rapper and a proud yes y'aller
if ya think about your grandma go ahead call her
from the east coast so i don't say hella
at the mic stand my performance is stellar
pop the tape in and i listen to fella
i give a little shout to nelson mandela
now get busy
known for the words that make you scream and holler
i'm count dooku to your queen amidala
give a shout to spiro or john waller
i'm a student of the game and a bona fide scholar
so ease up on the bong to ease that coughin'
butter's on the table now watch it soften
bring in those beats and i'm a bring them often
i'm a keep rappin' when i'm in my coffin
like a mind gone mad that is unwinding
in a padded room the walls you're climbing
don't sign on the line if it looks binding
ya have to get loose and find the lining
now get busy
now get busy"
277,cherry red,chris brown,Hip-Hop,"[hook: chris brown, luvaboy tj & ray j] just a young, fly nigga with a plan make 100 million in my cherry red van cherry red van, cherry red cherry red, cherry red my niggas soo-woo and it's all on sight a wife make a straight bitch wanna go dyke i got that coke pure white, in them baby blue xans 'bout to make a million in my cherry red van, cherry red van [verse 1: ray j] this one for my niggas in the slam, cherry red pontiac, 5 bird, trans-am my auntie got the collard greens cookin' in the pan and it feel like thanksgiving when we feastin' with the fam i buy my bottom bitch burgundy porsche cayenne paid my taxes to the church and said, ""fuck uncle sam"" i keep a mill in the oven like some honey baked ham i went from black tuxedo with some cherry red vans [hook: chris brown, luvaboy tj & ray j] just a young, fly nigga with a plan make 100 million in my cherry red van cherry red van, cherry red cherry red, cherry red my niggas soo-woo and it's all on sight a wife make a straight bitch wanna go dyke i got that coke pure white, in them baby blue xans 'bout to make a million in my cherry red van, cherry red van cherry red van, cherry red van cherry red, cherry red van [verse 2: chris brown] all of you niggas some fake hoes i dare any nigga to try some niggas upset, but won't take a hit it's eastside nigga, 500 pirut, single that nigga from avenue ray j, i fuck with this centre views give you one problem, we make the news soo-woo to my down boos pistol hang where my nuts at rain of fire, that's a blood bath you already know where my cup at actavis, you can't touch that if you got a problem, then pull up we gon' handle this shit now only reason you hang with the shooters cause you not the man in the house [hook: chris brown, luvaboy tj & ray j] just a young, fly nigga with a plan make 100 million in my cherry red van cherry red van, cherry red cherry red, cherry red my niggas soo-woo and it's all on sight a wife make a straight bitch wanna go dyke i got that coke pure white, in them baby blue xans 'bout to make a million in my cherry red van, cherry red van cherry red van, cherry red cherry red, cherry red vans [verse 3: luvaboy tj] lace up my red vans, duckin' the feds helicopters on my head movin' the work on my momma house had to get the cheese, bitch a mighty mouse pull up in that cherry red chain breakin' the bread down with all my niggas this is how we hang earned my stripes in the street like i banged up that thug life, that's that hood life live your flag and throw your set up hustle for that good life chitty chitty bang bang ain't nothin' but a whoop thing no stoppin' that shoot train bomb on 'em like hussain [hook: chris brown, luvaboy tj & ray j] just a young, fly nigga with a plan make 100 million in my cherry red van cherry red van, cherry red cherry red, cherry red my niggas soo-woo and it's all on sight a wife make a straight bitch wanna go dyke i got that coke pure white, in them baby blue xans 'bout to make a million in my cherry red van, cherry red van cherry red van, cherry red cherry red, cherry red vans"
278,i don t like drake diss,chris brown,Hip-Hop,"fuck nigga that's the shit i dont like they throwin' bottles i'm throwin' models just 'cause i gave a bitch long pipe doin' shows on the soccer field that's dome right? i be singin' , he be singin' so it's all, tight but hold up, i ain't give a nigga no green light this head up, my head up, one on one, what you scared bruh? matter of fact, take care bruh, you a pussy nigga my nigga tunechi, yeah that nigga nice shout of to nicki, man, that ass tight them eyebrows, man them shits is yikes ovo, you overdosed. screamin' yolo , no i live twice"
279,a w o l,beastie boys,Hip-Hop,"dj hurricane... when mike d's in the house, what you gonna do i go a.w.o.l. adrock's in the house, what you gonna do i go a.w.o.l. when mca's in the house, what you gonna do i go a.w.o.l. when hurricane's, what you gonna do he goes a.w.o.l. st. james in the house, what's you gonna do home-1, what you gonna do got busy in the house, what you gonna do dust bros. in the house, what you gonna do warren g. in the house, what you gonna do lou gains in the house, what you gonna do hollis crew, what you gonna do john mish in the house, what you gonna do killa cutty in the house, what you gonna do jannet j. in the house pat bain's in the house richard consen's in the house... good night amsterdamn now i want you all to break this down... to all the girls, all the girls you liked it, some of it's..."
280,no-competition,eric-b-rakim,Hip-Hop,"no competition
...
no competition
...
competition is none i remain at the top like the sun
and i burn whoever come in the chambers of torture
i caught ya you shoulda brought ya
neighborhood to support ya
no one in my path will withstand
under pressure the wrath of a swift man
you name the day the grounds to be neutral
speak your piece the feeling's mutual
we can go topic from topic whenever i drop it
try to stop it
in other words, what the brother heard
he tried to catch it, but what occurred
was too much weight for one brain to take
try to concentrate maintain then elevate
program an ounce from pound to pound
the matter of weight can't hold my mind down
permanent damage, i do away with
no time for fun, cause i don't play with
competitors, there's only one when i'm done
competition is none
...
no competition
...
competition is none, i'm the soul survivor
mc's get live but i get liver
it ain't a memorex, live in concert
at every network, the are the expert
whoever goes against causes friction
introduction music where's the mixing
ra will never die, tools they never try
to beat or defeat me, because whenever i
put poetry in motion
from the nile, then out into the ocean
three-fourths of water makes seven seas
a third of land three-sixty degrees
i circulate and remain to rotate
seven days a week at a quake or a slow rate
be prepared whenever i come
competition is none
...
it's no competition
...
creator, the alphabets let's communicate
when i translate the situation's straight
no dictionary's necessary to use
big words do nothing but confuse and lose
from the first step, a concept was kept
to the end of the rhyme, it get more in-depth
all thoughts i come across, my mind's the source
made by the are, of course
seven holes in my face as i'm lookin out my window
speak with the beat and it seem like the wind blows
through the speakers, i hear it so pump this
and we can fill up the whole circumfrence
with competition, on an impossible mission
comin up with nothin, keep fishin
no runner up, just lost or forfeits
they all get butterflies, soon as the dog gets
unlocked, lines for blocks and blocks
might be triflin, to call the cops
bring along paramedics
but that won't help you, not even calisthetics
i'm god, g is the seventh letter made
rainin on rappers, there's no parade
so if you ain't wise, then don't even come
competition for this inter mixin is none
...
it's, no competition
...
competition is none"
281,are you old enough,drag on,Hip-Hop,"ten years in the jailer's eye an' i'm thinkin' 'bout my baby looking at my life go by falling in the streets i'm broke an' i'm laughing at the poor man talking to the blind man see the lady in the street car lights colour a la toulouse television and the red red wine so won't you tell me won't you tell me the truth are you old enough are you old enough are you old enough are you old enough are you old enough oo oo are you old enough oh oh time goes and here we stand laughing at the side show sinking in the quick sand the other side of another world scratch my back go the coloured girls yeah, oh yeah i just wanted to kiss someone i got the moondog blues you just happened to be standing there so won't you tell me won't you tell me the truth are you old enough are you old enough are you old enough are you old enough are you old enough oo oo are you old enough oh oh see the lady in the street car lights got a whole lot to lose television and the red red wine so won't you tell me won't you tell me the truth are you old enough are you old enough are you old enough are you old enough are you old enough oo oo are you old enough oh oh"
282,he used 2 be a man,b g,Hip-Hop,"oh, you gonna be trippin 'bout this busta ass, nigga when he was on the streets, he used to jack niggas ran around the project toting the mac nigga he had niggas tip had 'em breaking him off he had niggas clearing the block when it got dark now everybody thought that this nigga was real but anybody holding a gun can kill if niggas was on the block, they ran when he came he used to walk on the set and rob the dice game this nigga was a dog out here in that world now he got to the pen and turned the girl he walking like a bitch this nigga here twistin the bitch even sittin down now when he pissin he hugged up with a man on the wall tongue kissin he family fucked up they dont even go visit now thats the difference between jail and the streets with a gun you a killa, without it youre a thrilla when you was on the streets, you was a solja and then you got fucked, when you went to angola you hit the fucking wall with all that mouthin' off and then you showed fear, when you got round them big dogs when you was on the streets, you was a solja and got turned out, when you went to angola you hit the fucking wall with all that mouthin' off and showed your true colors, when you got round them big dogs this nigga used to catch ballas slippin' and jack 'em this nigga used to catch bad bitches and mack 'em he used to serve niggas work out of town and tax 'em he used to take his walk up on niggas and wack 'em this nigga here name used to carry weight nigga passed with they head down couldn't look in his face this nigga used to act a fool with a 44 now he in the pen getting shot in his go go i had a feeling without that strap he was a hoe now it came out he done got that lifetime joe damn that's somethin' niggas is a trip they don't open they lip if they ain't got a full clip shit never changed doing the same thang on the streets ya 'bout it, in that place you're a jing-a-ling with a gat you a man nowadays your with out it you needed to be 'bout it 'cause you soft than soap powder when you was on the streets, you was a solja and then you got fucked, when you went to angola you hit the fucking wall with all that mouthin' off and then you showed fear, when you got round them big dogs when you walking up the street with that heat, ya creepin' when you walking down the walk that pink, ya sweppin' when ya standin' over a nigga with that k you a dog when you getting' that dick from the back you're a broad you was a man puttin' niggas under white sheets now that g-string up your ass, you the beauty of the week nigga told ya that out that here doing that crime take it like a man, you get popped, then you get that time you sayin' that you cool and you can handle it before you got upstate, you barely ate in the parish you ain't got a gun now, ain't even got a knife you had two charges, whodi fuck a fight you can't take a ass whooping, ya weaker than weak now ya getting your ass rubbed down with grease you're a clown, nobody feels sorry on the block ya got get it how ya live in that cell block when you was on the streets, you was a solja and then you got fucked, when you went to angola you hit the fucking wall with all that mouthin' off and then you showed fear, when you got round them big dogs when you was on the streets, you was a solja and then [unverified]"
283,super-bad,dopetrackz,Hip-Hop,"she fine
she like them thugs
she go to school
then hit the club
well, where she at?
i heard she super bad, she super bad
where she at?
i heard she super bad, she super bad
when i first met baby girl
she was goin' to class
got me twirlin' bout her walk
so i whipped on her azz
excuse me boo, what it do
my name is lanky
had her blushin' from the charm
so i pulled her in my arm
asked her not to be alarmed
then she gave me her digit
say call her in an hour
she like smokin' and drankin'
meaning educated moochie
so she stay about her business
but she still be in the club
shakin booty and tittie
well, where she at?
i heard she super bad, she super bad
where she at?
i heard she super bad, she super bad
she fine
she like them thugs
she go to school
then hit the club
(hold up) fallin from the ceiling
she bad like super villains
make the club superstorm
she bout to flood the buildin'
she superbad
must be some kin to boosie
wit some angel eyez
wit' a big ol' project booty
heard from my dawg
say she the baddest in town
checked her out for myself
and he wasn't f*ckin around
had to step down
let her know the deal
skripper name supa bad
so you know it's real
well, where she at?
i heard she super bad, she super bad
where she at?
i heard she super bad, she super bad
she fine
she like them thugs
she go to school
then hit the club
she she she fine
she like them thugs (like them, like them, like them, like them)
she go go go to school
then hit the club
well, where she at?
i heard she super bad, she super bad
where she at?
i heard she super bad, she super bad
she fine
she like them thugs
she go to school
then hit the club"
284,do for self,busta rhymes,Hip-Hop,"hey yo! yo sham! yo sham!!! -yo,yo,yo! come here nigga, wassup man? -whats the deal, son? how you doin man? -chillin man what you fuckin with that cat over there for? -he is my nigga, son. nahah, don't fuck around with that nigga, yo. -what you sayin,god? i know that nigga-- -what? i gotta hold it down for my homes, son lemme talk to ya for a second,man, c'mere, c'mere i been through bullshit, forced to pull shit at the enemy if i did it homes, it was the end of me back in the days, i'ma say like around your age -what makes you figure that? yo, i used to move the same ways carying guns, sell a nickle chums to bums run away from home, running through the streets with a chrome -nigga, fuck that, you see i'm livin on my own -my life is based on the same place and the same zone -thugs call me the don, but never feel my calm -at the same time you know it's hard for me to stay on yeah i'm feelin ya, but at i gotta keep it real with ya only when you got dough, niggas wanna be with ya they feel ya out, find out about your whereabouts best friends turn enemies, plotting to take you out -but it's all good, be'cause they show me love in tha hood -i got this shit locked,don't worry bout it. lemme cross ya out chorus: hey yo, i walk by myself,i die by myself 'cause ain't nobody gonna help me but my goddamn self i do for my self,make moves for my self 'cause ain't nobody gonna help me but my goddamn self i walk by myself,i die by myself 'cause ain't nobody gonna help me but my goddamn self i do for my self,make moves for my self 'cause ain't nobody gonna help me but my goddamn self verse 2: you see them cats that you run with, they allways in some dumb shit i'm tellin you right now, them cats shouldn't fuck with -now who the fuck is you? to tell me what to do? -tryin to start some real shit, tryin to make me flip on my crew go ahead and play hardass! live your life fast tryin to warn you, seem like these streets got you gassed -i got a problem right now, and i can't maintain -i got some big time cat tryin ta split my fame -yo, you see me in the street and wanna scream my name -with some caked up voice, yo i made my chioce -tim and his boys foul plans was to leave me moised -so i stood up,prayin to god that this ain't my last luck -yo they got me judged, call tha blue cross cops ran up *freeze!!!* -say please don't move too much, i think my man sat me up -on a fact(? ) shining to much left you wet up,same muthafuckas used to friend up got you hospitalized, look how you end up hooked up to a respirator, body all bent up your moms callin me at my home,cryin on the phone why the fuck you didn't listen? wouldn't be in this position you still breathing, a chance to change the way you living -no more claiming the streets, i got a daughter to raise -if i would've listened to you, i would never have got blaised -now i'm fucked up,laying in this bed cramped up -needles in my arm, thinkin how these cats play tough -real thoughts in my head,oh how i showed 'em love -fuck it, from now on gotta keep my shit real calm -plans to move up outta there, and grab my family to be gone chorus *chorus playin in the background while they talks* yo...sham? -yo.. wake up nigga how you doing man, -fucked up right now, son didn't you see i saw you earlier on the day,kicked it to ya man the streets ain't no muthafuckin joke, nigga -yo, son , see what they did to my fuckin leg, son? i'm tired of that bullshit, i'm sorry-- -can't even lift my shit no more. got holes up in this shit, you holy now? you believe in tha lord now, don't ya, muthafucka? -yeah... when you get outta this bitch, you better know how to walk the path muthafucka. -you grabbin me to get up outta here? there's lot of things you can do in the world, you're to young for this bullshit you hear me? -i know -definitely when you get better you come out, make your mama proud, make yourself proud, you keep ya head up, nigga -definitely you understand? -i understand what the fuck, nigga, at the end of the day you's a man. act like one -definitely"
285,fuck-a-perm-extended-version,the-coup,Hip-Hop,"dayaam, look at baby's hair over there and shit
damn big 1970's jackson's afro and shit
damn motherfuckers, always bein' like that
apply three drips, rub softly with your fingertips
and even though you flipped, don't trip 'cause now you're hip
and now you slick it, you grease it and you lick it
and you're lookin' really wicked but your hair is now called good
you moisturize and texturize and relaxize and civilize it
but yo, i got a 'fro, so a bro's misunderstood
kitchen in the back, give me dap, i got a knapsack
knick knack patty's whack 'cause in her mind it's firm
that straight is in and out is black
'cause black went out with tenement shacks
but beauty is a natural fact so i say, ""fuck a perm"""
